author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/302218758/,Москва,sale,flat,3,6,3,138.0,-1,0,129500000.0,Тверской,1-й Колобовский переулок,14,Трубная,
MR Group,developer,https://www.cian.ru/sale/flat/299093508/,Москва,sale,flat,11,41,2,58.5,-1,0,33468738.0,Даниловский,Дубининская ,59к7,Серпуховская,Павелецкая Сити
Бюро Эстейт Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303395678/,Москва,sale,flat,5,21,3,120.0,-1,0,120000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Tekta Group,developer,https://www.cian.ru/sale/flat/301259751/,Москва,sale,flat,23,42,2,41.6,-1,0,25837760.0,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303621218/,Москва,sale,flat,2,7,4,152.0,-1,0,263851799.0,Пресненский,Хлыновский тупик,4,Арбатская,
Tekta Group,developer,https://www.cian.ru/sale/flat/301260478/,Москва,sale,flat,5,27,2,40.5,-1,0,24036750.0,Даниловский,,,Павелецкая,Era
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300824521/,Москва,sale,flat,25,30,3,134.0,-1,0,66000000.0,Проспект Вернадского,проспект Вернадского,37к1А,Проспект Вернадского,
Сбербанк Капитал,developer,https://www.cian.ru/sale/flat/288177346/,Москва,sale,flat,2,7,2,112.8,-1,0,118321582.0,Якиманка,Софийская набережная,36,Новокузнецкая,Резиденция 1864
ID 85604823,unknown,https://www.cian.ru/sale/flat/299429352/,Москва,sale,flat,38,51,2,63.0,-1,0,36000000.0,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
Главстрой,developer,https://www.cian.ru/sale/flat/301772281/,Москва,sale,flat,2,8,2,48.83,-1,0,24219680.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/288460497/,Москва,sale,flat,6,6,4,324.5,-1,0,250000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Пионер,developer,https://www.cian.ru/sale/flat/301459955/,Москва,sale,flat,4,11,2,85.3,-1,0,70625414.0,Даниловский,,,Павелецкая,Опус ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,-1,0,58000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040534/,Москва,sale,flat,3,8,2,75.2,-1,0,50308800.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Элитный жилой комплекс 
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302059022/,Москва,sale,flat,4,6,3,76.8,-1,0,49500000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
PIONEER,developer,https://www.cian.ru/sale/flat/301513284/,Москва,sale,flat,4,22,2,47.2,-1,0,24921930.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
Бюро Эстейт Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303627117/,Москва,sale,flat,15,21,4,226.3,-1,0,139900000.0,Пресненский,Большой Тишинский переулок,10С1,Баррикадная,"Большой Тишинский переулок, 10с1"
Tekta Group,developer,https://www.cian.ru/sale/flat/303224329/,Москва,sale,flat,7,34,2,41.4,-1,0,21296160.0,Обручевский,,,Воронцовская,Эвер ЖК
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087931/,Москва,sale,flat,7,15,2,120.0,-1,0,149500000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Мангазея,developer,https://www.cian.ru/sale/flat/301581592/,Москва,sale,flat,9,21,2,74.2,-1,0,36238909.0,Щукино,Щукинская ,,Щукинская,Интонация
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,-1,0,169000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Киноцентр,developer,https://www.cian.ru/sale/flat/302253810/,Москва,sale,flat,7,20,2,54.85,-1,0,54795150.0,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/300693722/,Москва,sale,flat,6,15,3,118.0,-1,0,149500000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
COLDY,developer,https://www.cian.ru/sale/flat/303330158/,Москва,sale,flat,2,15,2,70.8,-1,0,54813512.0,Даниловский, Серпуховский Вал,7,Тульская,Дом 7 Даниловский
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299776865/,Москва,sale,flat,53,75,3,224.0,-1,0,175984199.0,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/304172962/,Москва,sale,flat,4,7,2,66.2,-1,0,25745180.0,,,В17 кв-л,Опалиха,Сберсити ЖК
ID 413522,realtor,https://www.cian.ru/sale/flat/303087537/,Москва,sale,flat,3,9,3,130.0,-1,0,175000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE
MR Group,developer,https://www.cian.ru/sale/flat/300287958/,Москва,sale,flat,33,43,2,58.83,-1,0,27333836.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/303583456/,Москва,sale,flat,3,15,3,99.9,-1,0,160000000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Среда,developer,https://www.cian.ru/sale/flat/303859205/,Москва,sale,flat,6,27,2,53.6,-1,0,20630640.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/303087968/,Москва,sale,flat,8,15,3,138.57,-1,0,159355000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Sense Development,developer,https://www.cian.ru/sale/flat/300501957/,Москва,sale,flat,7,13,2,64.9,-1,0,35782232.0,Даниловский,Подольское шоссе,3,Тульская,Logos
ID 413522,realtor,https://www.cian.ru/sale/flat/303087560/,Москва,sale,flat,8,15,3,138.57,-1,0,159350000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040420/,Москва,sale,flat,4,6,2,74.91,-1,0,124200780.0,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303998929/,Москва,sale,flat,14,20,4,163.0,-1,0,195000000.0,Пресненский, Костикова,4к5,Улица 1905 года,Lucky
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301910921/,Москва,sale,flat,20,23,2,68.1,-1,0,33709500.0,Басманный, Фридриха Энгельса,56,Бауманская,Премиум-квартал 
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/303874366/,Москва,sale,flat,11,11,3,151.0,-1,0,184900000.0,Хамовники, Ефремова,10с1к4/1,Фрунзенская,Садовые кварталы
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304065669/,Москва,sale,flat,9,17,2,49.8,-1,0,56313000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
ID 413522,realtor,https://www.cian.ru/sale/flat/303087515/,Москва,sale,flat,7,18,4,157.6,-1,0,206332107.0,Хамовники,Комсомольский проспект,32,Фрунзенская,
Hutton Development,developer,https://www.cian.ru/sale/flat/303616433/,Москва,sale,flat,5,6,2,75.6,-1,0,181440000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087893/,Москва,sale,flat,2,11,4,147.36,-1,0,149100000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Ташир,developer,https://www.cian.ru/sale/flat/264099911/,Москва,sale,flat,2,32,2,76.6,-1,0,31344720.0,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087880/,Москва,sale,flat,8,15,3,119.5,-1,0,155350000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516183/,Москва,sale,flat,2,12,2,85.94,-1,0,38612842.0,,,В19 кв-л,Павшино,Сберсити ЖК
ID 413522,realtor,https://www.cian.ru/sale/flat/303087568/,Москва,sale,flat,6,11,3,118.0,-1,0,147000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934989/,Москва,sale,flat,4,13,2,81.26,-1,0,34421736.0,,,В21 кв-л,Опалиха,Сберсити ЖК
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087883/,Москва,sale,flat,8,15,3,138.57,-1,0,159355500.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516517/,Москва,sale,flat,2,11,2,47.0,-1,0,24769000.0,,,В14 кв-л,Павшино,Сберсити ЖК
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087885/,Москва,sale,flat,6,12,3,113.9,-1,0,178820000.0,Хамовники, Усачева,13,Спортивная,Садовые кварталы
СИТИ21,developer,https://www.cian.ru/sale/flat/292035501/,Москва,sale,flat,14,15,2,75.8,-1,0,41390372.0,Останкинский,проспект Мира,95,Алексеевская,Hill8
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087914/,Москва,sale,flat,7,14,2,95.0,-1,0,169000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,-1,0,168270000.0,Якиманка,,,Боровицкая,Лаврушинский ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300004581/,Москва,sale,flat,8,8,4,165.1,-1,0,169000000.0,Красносельский,Милютинский переулок,3,Лубянка,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/293721204/,Москва,sale,flat,3,13,2,82.36,-1,0,44400276.0,,,В20 кв-л,Павшино,Сберсити ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301124778/,Москва,sale,flat,11,11,3,150.0,-1,0,185000000.0,Хамовники, Ефремова,10с1к4/1,Фрунзенская,Садовые кварталы
Regions Development,developer,https://www.cian.ru/sale/flat/304060514/,Москва,sale,flat,2,23,2,72.1,-1,0,35109224.0,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/303087866/,Москва,sale,flat,2,8,3,184.6,-1,0,182000000.0,Хамовники,1-й Зачатьевский переулок,5,Парк Культуры,Новая Остоженка
Ташир,developer,https://www.cian.ru/sale/flat/274701405/,Москва,sale,flat,2,17,2,43.3,-1,0,27062500.0,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/292249325/,Москва,sale,flat,4,6,4,171.1,-1,0,188900000.0,Хамовники, Усачева,11Ж,Спортивная,Садовые кварталы
MR Group,developer,https://www.cian.ru/sale/flat/302792260/,Москва,sale,flat,4,13,2,85.76,-1,0,108088817.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087904/,Москва,sale,flat,10,16,5,199.32,-1,0,220000000.0,Хамовники, Усачева,11,Спортивная,Садовые кварталы
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/299370748/,Москва,sale,flat,3,6,2,44.0,-1,0,23232000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
ID 413522,realtor,https://www.cian.ru/sale/flat/303087565/,Москва,sale,flat,9,11,4,199.37,-1,0,219690000.0,Хамовники, Усачева,11И,Спортивная,Садовые кварталы
EraOneHolding,developer,https://www.cian.ru/sale/flat/284404561/,Москва,sale,flat,8,8,2,121.2,-1,0,159473684.0,Арбат, Арбат,24,Смоленская,Turandot Residences
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/303393640/,Москва,sale,flat,13,15,2,117.4,-1,0,140000000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Стадион Спартак,developer,https://www.cian.ru/sale/flat/298406172/,Москва,sale,flat,4,13,2,66.7,-1,0,32609630.0,Покровское-Стрешнево,Северо-Западный ао,,Спартак,Клубный Город на Реке Примавера ЖК
ID 111240424,homeowner,https://www.cian.ru/sale/flat/300143306/,Москва,sale,flat,38,52,2,63.0,-1,0,36000000.0,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
COLDY,developer,https://www.cian.ru/sale/flat/297997312/,Москва,sale,flat,2,14,2,147.05,-1,0,303725598.0,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/303677467/,Москва,sale,flat,11,11,3,150.0,-1,0,185000000.0,Хамовники, Ефремова,10к2,Спортивная,Садовые кварталы
VESPER,developer,https://www.cian.ru/sale/flat/287317369/,Москва,sale,flat,5,21,1,65.9,-1,0,78259545.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/303087989/,Москва,sale,flat,4,6,3,170.0,-1,0,178900000.0,Хамовники, Усачева,11Ж,Спортивная,Садовые кварталы
Sminex,developer,https://www.cian.ru/sale/flat/303125490/,Москва,sale,flat,11,14,2,67.1,-1,0,39190000.0,Раменки,проспект Генерала Дорохова,39к2М,Ломоносовский проспект,Собрание клубных домов West Garden
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300936966/,Москва,sale,flat,6,9,4,160.0,-1,0,110000000.0,Хамовники, Знаменка,13С1,Боровицкая,
MR Group,developer,https://www.cian.ru/sale/flat/298278959/,Москва,sale,flat,2,37,2,64.3,-1,0,41616568.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
ID 109135729,realtor,https://www.cian.ru/sale/flat/303087952/,Москва,sale,flat,6,11,3,118.0,-1,0,129990000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Трансстройинвест,developer,https://www.cian.ru/sale/flat/301925930/,Москва,sale,flat,11,23,2,44.1,-1,0,21442891.0,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/302398135/,Москва,sale,flat,5,17,3,105.0,-1,0,115500000.0,Пресненский, Сергея Макеева,9к2,Улица 1905 года,RedSide
ANT Development,developer,https://www.cian.ru/sale/flat/303519421/,Москва,sale,flat,2,10,2,59.8,-1,0,66618396.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/281590820/,Москва,sale,flat,3,14,4,200.0,-1,0,430000000.0,Хамовники, Усачева,11Г,Фрунзенская,Садовые кварталы
КРОСТ,developer,https://www.cian.ru/sale/flat/296745429/,Москва,sale,flat,26,28,2,47.5,-1,0,22182500.0,Хорошево-Мневники, Генерала Глаголева,,,CRYSTAL Трилогия
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/287780154/,Москва,sale,flat,4,6,4,171.0,-1,0,190000000.0,Хамовники, Усачева,11Ж,Спортивная,Садовые кварталы
ANT Development,developer,https://www.cian.ru/sale/flat/303519450/,Москва,sale,flat,22,34,2,50.6,-1,0,59236384.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Елена Подстрешная,realtor,https://www.cian.ru/sale/flat/303673347/,Москва,sale,flat,3,28,4,126.1,-1,0,42500000.0,Филевский парк,Береговой проезд,1Б,Шелепиха,мой адрес На Береговом
Группа Родина,developer,https://www.cian.ru/sale/flat/285606685/,Москва,sale,flat,2,23,2,62.5,-1,0,31200000.0,Ростокино,,к2,Ботанический сад,Союз ЖК
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/303087991/,Москва,sale,flat,11,11,4,303.0,-1,0,474933239.0,Хамовники,Трубецкая ,12,Фрунзенская,Садовые кварталы
Sminex,developer,https://www.cian.ru/sale/flat/303262395/,Москва,sale,flat,2,21,2,59.52,-1,0,27900000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302615092/,Москва,sale,flat,3,6,5,292.8,-1,0,385000000.0,Хамовники,Мансуровский переулок,10С1,Парк Культуры,
GloraX,developer,https://www.cian.ru/sale/flat/303476931/,Москва,sale,flat,10,21,2,67.62,-1,0,38059999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302698273/,Москва,sale,flat,14,23,4,201.0,-1,0,105000000.0,Раменки,Мичуринский проспект,26,Раменки,
БЭЛ Девелопмент,developer,https://www.cian.ru/sale/flat/303561556/,Москва,sale,flat,3,6,3,64.5,-1,0,61275000.0,Тверской,Долгоруковская ,25к1,Новослободская,Долгоруковская 25
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/302979659/,Москва,sale,flat,2,11,4,199.0,-1,0,300000000.0,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
Sminex,developer,https://www.cian.ru/sale/flat/304094767/,Москва,sale,flat,3,24,2,55.9,-1,0,77660000.0,Пресненский,Электрический переулок,1кАБ,Белорусская,Квартал Тишинский бульвар
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/296427507/,Москва,sale,flat,4,8,5,117.0,-1,0,61000000.0,Пресненский,Большая Садовая ,3С1,Маяковская,
MR Group,developer,https://www.cian.ru/sale/flat/303473279/,Москва,sale,flat,6,11,3,75.79,-1,0,50021400.0,Филевский парк,,,Фили,Фили Сити ЖК
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/302921580/,Москва,sale,flat,3,4,4,142.0,-1,0,79000000.0,Тверской, Петровка,24С3,Трубная,
Центр-Инвест,developer,https://www.cian.ru/sale/flat/298329474/,Москва,sale,flat,7,9,2,69.9,-1,0,69134455.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303268768/,Москва,sale,flat,7,13,4,105.0,-1,0,88500000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
MR Group,developer,https://www.cian.ru/sale/flat/294196808/,Москва,sale,flat,33,41,2,75.2,-1,0,38352000.0,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
ID 413522,realtor,https://www.cian.ru/sale/flat/303087556/,Москва,sale,flat,7,12,5,227.0,-1,0,336900000.0,Хамовники, Усачева,13,Спортивная,Садовые кварталы
MR Group,developer,https://www.cian.ru/sale/flat/290790439/,Москва,sale,flat,2,57,2,58.48,-1,0,32674530.0,Филевский парк,,,Фили,Фили Сити ЖК
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/303087897/,Москва,sale,flat,2,5,3,164.0,-1,0,193582619.0,Хамовники, Бурденко,3,Парк Культуры,Дом на Бурденко
Трансстройинвест,developer,https://www.cian.ru/sale/flat/301764354/,Москва,sale,flat,2,8,2,63.6,-1,0,88149600.0,Мещанский,Большой Кисельный переулок,11/2с2,Тургеневская,Frank's house
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/303087861/,Москва,sale,flat,4,6,3,172.1,-1,0,227044473.0,Хамовники, Остоженка,11,Кропоткинская,Остоженка 11
Ташир,developer,https://www.cian.ru/sale/flat/302722354/,Москва,sale,flat,2,16,2,46.8,-1,0,23868000.0,Даниловский, Серпуховский Вал,1,Тульская,DECO RESIDENCE (Апартаменты премиум-класса)
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/303087875/,Москва,sale,flat,4,6,3,170.0,-1,0,190000000.0,Хамовники, Усачева,11Ж,Спортивная,Садовые кварталы
Группа Родина,developer,https://www.cian.ru/sale/flat/303533945/,Москва,sale,flat,4,14,2,49.8,-1,0,26021300.0,Можайский,,,Давыдково,Родина Парк ЖК
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297033057/,Москва,sale,flat,4,8,5,117.0,-1,0,61000000.0,Пресненский,Большая Садовая ,3С1,Маяковская,
Tekta Group,developer,https://www.cian.ru/sale/flat/303506169/,Москва,sale,flat,3,22,2,39.9,-1,0,17288670.0,Нагорный,,1,Нагорная,Твелв ЖК
Александр Ширяев,realtor,https://www.cian.ru/sale/flat/303858733/,Москва,sale,flat,4,16,3,91.8,-1,0,44700000.0,Можайский, Багрицкого,18к2,Кунцевская,
Главстрой,developer,https://www.cian.ru/sale/flat/298342644/,Москва,sale,flat,5,20,1,41.0,-1,0,22168987.0,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
Бюро Эстейт Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303582581/,Москва,sale,flat,14,16,3,99.0,-1,0,51500000.0,Даниловский,Павелецкая набережная,8Б,Крестьянская застава,Резиденции Композиторов
VESPER,developer,https://www.cian.ru/sale/flat/289484529/,Москва,sale,flat,8,9,1,64.5,-1,0,89010000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302109371/,Москва,sale,flat,10,15,3,141.6,-1,0,170000000.0,Хамовники,2-я Фрунзенская ,12,Фрунзенская,Пять Звезд
Ташир,developer,https://www.cian.ru/sale/flat/299137381/,Москва,sale,flat,4,21,2,47.9,-1,0,19339625.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298983974/,Москва,sale,flat,2,7,5,248.0,-1,0,97000000.0,Крылатское,Крылатская ,45К4,Крылатское,Долина грез
MR Group,developer,https://www.cian.ru/sale/flat/299093496/,Москва,sale,flat,18,41,1,37.7,-1,0,23930985.0,Даниловский,Дубининская ,59к7,Серпуховская,Павелецкая Сити
Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/300604413/,Москва,sale,flat,13,14,4,95.5,-1,0,57150000.0,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
Prime Life Development,developer,https://www.cian.ru/sale/flat/299132492/,Москва,sale,flat,6,28,2,59.76,-1,0,29898807.0,Нагатино-Садовники,Нагатинская ,к1вл1,Нагатинская,Первый Нагатинский
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301493797/,Москва,sale,flat,9,32,2,63.0,-1,0,50700000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640150/,Москва,sale,flat,5,49,2,59.19,-1,0,23143290.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303439862/,Москва,sale,flat,3,10,2,90.0,-1,0,37900000.0,Басманный,Нижняя Красносельская ,35С48,Бауманская,TriBeCa APARTMENTS
MR Group,developer,https://www.cian.ru/sale/flat/303880112/,Москва,sale,flat,2,54,2,59.94,-1,0,29490480.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
Бюро Эстейт Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303974991/,Москва,sale,flat,9,12,4,119.0,-1,0,72500000.0,Сокол, Врубеля,4к1,Сокол,Врубеля 4
VESPER,developer,https://www.cian.ru/sale/flat/269051087/,Москва,sale,flat,14,21,3,181.8,-1,0,216819225.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303588647/,Москва,sale,flat,5,41,4,138.0,-1,0,125000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Пионер,developer,https://www.cian.ru/sale/flat/303979491/,Москва,sale,flat,4,25,2,56.59,-1,0,23201273.0,Москворечье-Сабурово,,,Варшавская,Лайф Варшавская ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/302001439/,Москва,sale,flat,7,14,3,95.0,-1,0,165000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Sminex,developer,https://www.cian.ru/sale/flat/299801831/,Москва,sale,flat,2,23,2,56.0,-1,0,56130000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300733009/,Москва,sale,flat,12,12,3,243.0,-1,0,350000000.0,Хамовники, Усачева,11И,Спортивная,Садовые кварталы
Основа,developer,https://www.cian.ru/sale/flat/292154031/,Москва,sale,flat,6,28,2,41.3,-1,0,17065160.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
